title,listed_in,description,new_description,cluster_id,,,
The Meyerowitz Stories (New and Selected),"Comedies, Dramas, Independent Movies",Grudges and rivalries abound as three adult siblings converge in New York to contend with their prickly artist father â€“ and his fading legacy.,grudges and rivalries abound as three adult siblings converge in new york to contend with their prickly artist father â€“ and his fading legacy,0,,,
Barakah Meets Barakah,"Comedies, International Movies, Romantic Movies",A laid-back civil servant and wealthy video blogger struggle to make it as a modern couple amid strict Saudi social conventions.,a laid back civil servant and wealthy video blogger struggle to make it as a modern couple amid strict saudi social conventions,16,,,
Bomb Scared,"Comedies, Independent Movies, International Movies","In this dark comedy, a dysfunctional group of wannabe Basque terrorists awaits word about a new mission while Spain makes a run at the World Cup title.",in this dark comedy a dysfunctional group of wannabe basque terrorists awaits word about a new mission while spain makes a run at the world cup title,15,,,
Christina P: Mother Inferior,Stand-Up Comedy,"Christina Pazsitzky hits Seattle with a biting dose of reality, telling truths about her childhood, getting older and the horrors of giving birth.",christina pazsitzky hits seattle with a biting dose of reality telling truths about her childhood getting older and the horrors of giving birth,6,,,
The Death and Life of Marsha P. Johnson,"Documentaries, LGBTQ Movies","As she fights the tide of violence against trans women, activist Victoria Cruz probes the suspicious 1992 death of her friend Marsha P. Johnson.",as she fights the tide of violence against trans women activist victoria cruz probes the suspicious 1992 death of her friend marsha p johnson,3,,,
Rodney Carrington: Here Comes the Truth,Stand-Up Comedy,"Raunchy country comic and musician Rodney Carrington jokes and sings about life in his 40s, poking fun at sex, relationships and gaining weight.",raunchy country comic and musician rodney carrington jokes and sings about life in his 40s poking fun at sex relationships and gaining weight,17,,,
26 Years,"Dramas, International Movies, Thrillers","Twenty-six years after the 1980 massacre at Gwangju, South Korea, three relatives of the victims come together to avenge the infamous orchestrator.",twenty six years after the 1980 massacre at gwangju south korea three relatives of the victims come together to avenge the infamous orchestrator,9,,,
For Your Own Good,"Comedies, International Movies","Three brothers-in-law join forces to secretly drive away their daughters' undesirable boyfriends: anarchist Ãlex, bad-boy Dani and playboy Ernesto.",three brothers in law join forces to secretly drive away their daughters undesirable boyfriends anarchist Ã¡lex bad boy dani and playboy ernesto,14,,,
Franca: Chaos and Creation,"Documentaries, International Movies","A documentary filmmaker chronicles the life and times of his mother, Franca Sozzani, the editor of Italian Vogue and a fashion-world provocateur.",a documentary filmmaker chronicles the life and times of his mother franca sozzani the editor of italian vogue and a fashion world provocateur,20,,,
Generation Iron 2,"Documentaries, Sports Movies","New-generation bodybuilding stars â€“ including Rich Piana, Kai Greene and Calum von Moger â€“ share their experiences competing in the demanding sport.",new generation bodybuilding stars â€“ including rich piana kai greene and calum von moger â€“ share their experiences competing in the demanding sport,6,,,
Ghost Patrol,"Children & Family Movies, Comedies",Two kids and their pet dog (aka the Ghost Patrol) get a call about an old manor and soon find they are investigating their first real haunted house.,two kids and their pet dog aka the ghost patrol get a call about an old manor and soon find they are investigating their first real haunted house,21,,,
The Lion Woman,"Dramas, International Movies",A girl born with a condition that causes abnormal hair growth across her body tries to cope with the challenges of being different.,a girl born with a condition that causes abnormal hair growth across her body tries to cope with the challenges of being different,16,,,
VerÃ³nica,"Dramas, Independent Movies, International Movies","A reclusive psychologist agrees to treat a patient â€“ whose therapist is missing â€“ at her remote cabin, where the women test each other's boundaries.",a reclusive psychologist agrees to treat a patient â€“ whose therapist is missing â€“ at her remote cabin where the women test each other s boundaries,21,,,
Gerald's Game,"Horror Movies, Thrillers","When her husband's sex game goes wrong, Jessie â€“ handcuffed to a bed in a remote lake house â€“ faces warped visions, dark secrets and a dire choice.",when her husband s sex game goes wrong jessie â€“ handcuffed to a bed in a remote lake house â€“ faces warped visions dark secrets and a dire choice,21,,,
Long Shot,Documentaries,"When Juan Catalan is arrested for a murder he didn't commit, he builds his case for innocence around raw footage from a popular TV show. A documentary.",when juan catalan is arrested for a murder he didn t commit he builds his case for innocence around raw footage from a popular tv show a documentary,19,,,
Our Souls at Night,"Dramas, Romantic Movies","After widowed neighbors Addie and Louis begin sleeping in bed together platonically to alleviate their loneliness, a real romance begins to blossom.",after widowed neighbors addie and louis begin sleeping in bed together platonically to alleviate their loneliness a real romance begins to blossom,9,,,
Out of Thin Air,"Documentaries, International Movies","Picking up 40 years after six were convicted for two strange murders in Iceland, this chilling documentary proves confessions canâ€™t always be trusted.",picking up 40 years after six were convicted for two strange murders in iceland this chilling documentary proves confessions canâ€™t always be trusted,19,,,
Much Loved,"Dramas, Independent Movies, International Movies",Four friends who make their living as prostitutes in Morocco deal with both the dangers and stigma that come with their profession.,four friends who make their living as prostitutes in morocco deal with both the dangers and stigma that come with their profession,16,,,
Def Comedy Jam 25,Stand-Up Comedy,"In this special live event, giants of stand-up come together to commemorate the 25th anniversary of Russell Simmons's groundbreaking ""Def Comedy Jam.""",in this special live event giants of stand up come together to commemorate the 25th anniversary of russell simmons s groundbreaking def comedy jam,17,,,
Swearnet: The Movie,"Comedies, International Movies","After losing a TV network deal, the Trailer Park Boys launch their own Internet series, but they soon confront personal and creative differences.",after losing a tv network deal the trailer park boys launch their own internet series but they soon confront personal and creative differences,16,,,
The Bar,"Comedies, Horror Movies, International Movies",Strangers holed up in a Madrid bar after witnessing a murder begin to turn on each other as panic sets in and the body count rises.,strangers holed up in a madrid bar after witnessing a murder begin to turn on each other as panic sets in and the body count rises,21,,,
Gaga: Five Foot Two,"Documentaries, Music & Musicals","Follow pop provocateur Lady Gaga as she releases a new album, preps for her Super Bowl halftime show, and confronts physical and emotional struggles.",follow pop provocateur lady gaga as she releases a new album preps for her super bowl halftime show and confronts physical and emotional struggles,1,,,
The Bad Batch,"Dramas, Independent Movies, Thrillers","Banished to a wasteland of undesirables, a young woman struggles to find her feet among a drug-soaked desert society and an enclave of cannibals.",banished to a wasteland of undesirables a young woman struggles to find her feet among a drug soaked desert society and an enclave of cannibals,12,,,
Jerry Before Seinfeld,Stand-Up Comedy,"Jerry Seinfeld returns to the club that gave him his start in the 1970s, mixing iconic jokes with stories from his childhood and early days in comedy.",jerry seinfeld returns to the club that gave him his start in the 1970s mixing iconic jokes with stories from his childhood and early days in comedy,6,,,
Barbie Dolphin Magic,Children & Family Movies,"While visiting Ken and exploring a coral reef, Barbie and her sisters make an amazing discovery and meet a mysterious new friend.",while visiting ken and exploring a coral reef barbie and her sisters make an amazing discovery and meet a mysterious new friend,12,,,
First They Killed My Father,Dramas,A 5-year-old girl embarks on a harrowing quest for survival amid the sudden rise and terrifying reign of the Khmer Rouge in Cambodia.,a 5 year old girl embarks on a harrowing quest for survival amid the sudden rise and terrifying reign of the khmer rouge in cambodia,9,,,
Strong Island,Documentaries,"The forces of family, grief and racial injustice converge in this powerful documentary exploring the murder of filmmaker Yance Ford's brother.",the forces of family grief and racial injustice converge in this powerful documentary exploring the murder of filmmaker yance ford s brother,3,,,
Ghost of the Mountains,"Children & Family Movies, Documentaries",An international group of filmmakers sets out on a mission to get up close and personal with a family of elusive snow leopards.,an international group of filmmakers sets out on a mission to get up close and personal with a family of elusive snow leopards,3,,,
Heroin(e),Documentaries,"This documentary follows three women â€“ a fire chief, a judge and a street missionary â€“ as they battle West Virginia's devastating opioid epidemic.",this documentary follows three women â€“ a fire chief a judge and a street missionary â€“ as they battle west virginia s devastating opioid epidemic,3,,,
Jeff Dunham: Relative Disaster,Stand-Up Comedy,Ventriloquist Jeff Dunham brings his rude and slightly demented posse of puppets to Ireland for a gleeful skewering of family and politics.,ventriloquist jeff dunham brings his rude and slightly demented posse of puppets to ireland for a gleeful skewering of family and politics,17,,,
#realityhigh,Comedies,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",when nerdy high schooler dani finally attracts the interest of her longtime crush she lands in the cross hairs of his ex a social media celebrity,24,,,
Fabrizio Copano: Solo pienso en mi,Stand-Up Comedy,"Fabrizio Copano takes audience participation to the next level in this stand-up set while reflecting on sperm banks, family WhatsApp groups and more.",fabrizio copano takes audience participation to the next level in this stand up set while reflecting on sperm banks family whatsapp groups and more,6,,,
JoaquÃ­n Reyes: Una y no mÃ¡s,Stand-Up Comedy,"Comedian and celebrity impersonator JoaquÃ­n Reyes decides to be his zesty self for a night of stories about buses, bathroom habits, royalty and more.",comedian and celebrity impersonator joaquÃ­n reyes decides to be his zesty self for a night of stories about buses bathroom habits royalty and more,6,,,
Carrie Pilby,"Comedies, Dramas","A socially awkward 19-year-old genius makes big plans to step out of her shell and make a friend, get a job and â€“ maybe â€“ even go on a date.",a socially awkward 19 year old genius makes big plans to step out of her shell and make a friend get a job and â€“ maybe â€“ even go on a date,11,,,
Marc Maron: Too Real,Stand-Up Comedy,"Battle-scarred stand-up comedian Marc Maron unleashes a storm of ideas about meditation, mortality, documentary films and our weird modern world.",battle scarred stand up comedian marc maron unleashes a storm of ideas about meditation mortality documentary films and our weird modern world,17,,,
Aakhri Adaalat,"Action & Adventure, International Movies",An intrepid police inspector forced into a desk job must take matters into his own hands when ruthless criminals are released on a technicality.,an intrepid police inspector forced into a desk job must take matters into his own hands when ruthless criminals are released on a technicality,22,,,
Alias JJ, la celebridad del mal,"Documentaries, International Movies","Witnesses and public figures respond to controversial claims about Pablo Escobar made by the MedellÃ­n Cartel's sole survivor, John Jairo VelÃ¡squez.",witnesses and public figures respond to controversial claims about pablo escobar made by the medellÃ­n cartel s sole survivor john jairo velÃ¡squez,3,,
Berserk: The Golden Age Arc II - The Battle for Doldrey,"Action & Adventure, Anime Features, International Movies","For three years, Guts believed his mission was to pursue Griffith's dream together with him. But in order to become Griffith's equal and truly be called his friend, Guts realizes he will have to leave the Band of the Hawk.",for three years guts believed his mission was to pursue griffith s dream together with him but in order to become griffith s equal and truly be called his friend guts realizes he will have to leave the band of the hawk,7,,,
Berserk: The Golden Age Arc III - The Advent,"Action & Adventure, Anime Features, International Movies","A year after he left the Band of the Hawk, Guts rejoins them in an epic battle to vanquish the God Hand and save Griffith from a hellish fate.",a year after he left the band of the hawk guts rejoins them in an epic battle to vanquish the god hand and save griffith from a hellish fate,7,,,
Brother's Shadow,"Dramas, Independent Movies","After serving time in jail, a disgraced son returns to the family business in New York, where he struggles to fill the shoes of his late twin brother.",after serving time in jail a disgraced son returns to the family business in new york where he struggles to fill the shoes of his late twin brother,23,,,
Chadi Jawani Budhe Nu,"Comedies, International Movies, Romantic Movies","After reaching his 40th birthday, an egotistical businessman kicks off his midlife crisis by deciding to secure a mistress.",after reaching his 40th birthday an egotistical businessman kicks off his midlife crisis by deciding to secure a mistress,14,,,
Ek Jaan Hain Hum,"Dramas, International Movies, Music & Musicals","While trying to win over his belovedâ€™s parents, a young man is accused of arson, and his father soon realizes insanity may be his only defense.",while trying to win over his belovedâ€™s parents a young man is accused of arson and his father soon realizes insanity may be his only defense,23,,,
Khoon Khoon,"Action & Adventure, International Movies","As a crazed killer blazes a trail of blood through an anxious city, a hardened cop aims to take him down by any means in this remake of â€œDirty Harry.â€",as a crazed killer blazes a trail of blood through an anxious city a hardened cop aims to take him down by any means in this remake of â€œdirty harry â€,5,,,
Little Evil,"Comedies, Horror Movies","In this horror-comedy, a recently married man who wants to bond with his stepson begins to fear that the boy is a demon.",in this horror comedy a recently married man who wants to bond with his stepson begins to fear that the boy is a demon,11,,,
Manoranjan,"Comedies, International Movies, Music & Musicals","After getting fired, a police officer connects with a prostitute he met on the job in a red-light district and sets out to keep her off the streets.",after getting fired a police officer connects with a prostitute he met on the job in a red light district and sets out to keep her off the streets,23,,,
Mujrim,"Action & Adventure, Dramas, International Movies","Jailed as a teenager, Shankar has been unable to stay on the right side of the law ever since, despite his wife's pleas and his mother's rejection.",jailed as a teenager shankar has been unable to stay on the right side of the law ever since despite his wife s pleas and his mother s rejection,11,,,
Offline - Das leben ist kein bonuslevel,"Action & Adventure, Comedies, International Movies",Competitive gamer Jan finds his life thrown for a loop when his bitter rival hacks his identity just before a high-stakes tournament.,competitive gamer jan finds his life thrown for a loop when his bitter rival hacks his identity just before a high stakes tournament,2,,,
Resurface,"Documentaries, Sports Movies",A suicidal war veteran finds like-minded souls in a surf therapy program that helps traumatized soldiers heal while riding the waves.,a suicidal war veteran finds like minded souls in a surf therapy program that helps traumatized soldiers heal while riding the waves,10,,,
Rocco,"Documentaries, International Movies",Italian porn star Rocco Siffredi is showcased in this documentary that shadows the legendary performer during his final year in front of the camera.,italian porn star rocco siffredi is showcased in this documentary that shadows the legendary performer during his final year in front of the camera,20,,,
Sohni Mahiwal,"Dramas, International Movies, Romantic Movies","After being violently separated from the woman he loves, a young man must disguise himself in order to keep meeting her.",after being violently separated from the woman he loves a young man must disguise himself in order to keep meeting her,23,,,
The Distinguished Citizen,"Comedies, Dramas, International Movies","Worried heâ€™s lost his artistic edge, a wealthy expat novelist returns to his backwater hometown in Argentina, where heâ€™s regarded as a local hero.",worried heâ€™s lost his artistic edge a wealthy expat novelist returns to his backwater hometown in argentina where heâ€™s regarded as a local hero,12,,,
The Guardian Brothers,"Children & Family Movies, Comedies","When a Chinese family's soup shop is targeted for sabotage by a competitor, two guardians from the spirit world leave retirement to protect them.",when a chinese family s soup shop is targeted for sabotage by a competitor two guardians from the spirit world leave retirement to protect them,7,,,
The Last Shaman,"Documentaries, International Movies","In a last-ditch effort to prevent suicide, a clinically depressed young man travels to the Amazon to engage in an ancient hallucinatory ritual.",in a last ditch effort to prevent suicide a clinically depressed young man travels to the amazon to engage in an ancient hallucinatory ritual,13,,,
The Lost Brother,"Dramas, International Movies","While settling the affairs of his murdered mother and brother, a man partners with a local thug in a life insurance scam, putting him on a dark path.",while settling the affairs of his murdered mother and brother a man partners with a local thug in a life insurance scam putting him on a dark path,23,,,
Todo Sobre El Asado,"Documentaries, International Movies","This quirky examination of Argentina's culture, customs and cuisine slices into the country's traditional barbecue â€“ which is both meal and ritual.",this quirky examination of argentina s culture customs and cuisine slices into the country s traditional barbecue â€“ which is both meal and ritual,6,,,
Ryan Hamilton: Happy Face,Stand-Up Comedy,"Small-town import Ryan Hamilton charms New York with folksy comic observations on big-city life, hot-air ballooning and going to Disney World alone.",small town import ryan hamilton charms new york with folksy comic observations on big city life hot air ballooning and going to disney world alone,6,,,
Buster's Mal Heart,"Independent Movies, Thrillers","On the run from authorities, a troubled man recalls the mysterious events â€“ and the strange drifter â€“ that inspired his unusual transformation.",on the run from authorities a troubled man recalls the mysterious events â€“ and the strange drifter â€“ that inspired his unusual transformation,21,,,
Berlin Syndrome,"International Movies, Thrillers",What starts as a passionate one-night stand quickly turns sinister when Clare learns she's locked inside Andi's apartment with no way out.,what starts as a passionate one night stand quickly turns sinister when clare learns she s locked inside andi s apartment with no way out,21,,,
Death Note,"Horror Movies, Thrillers","Light Turner finds a supernatural notebook and uses it to mete out death, attracting the attention of a detective, a demon and a girl in his class.",light turner finds a supernatural notebook and uses it to mete out death attracting the attention of a detective a demon and a girl in his class,19,,,
Lynne Koplitz: Hormonal Beast,Stand-Up Comedy,"Unabashed comedian Lynne Koplitz offers a woman's take on being crazy, the benefits of childlessness and the three things all men really want.",unabashed comedian lynne koplitz offers a woman s take on being crazy the benefits of childlessness and the three things all men really want,6,,,
Undefeated,"Documentaries, Sports Movies",An inspirational profile of an inner-city high school football team's valiant effort to reach the school's first-ever playoff game.,an inspirational profile of an inner city high school football team s valiant effort to reach the school s first ever playoff game,2,,,
What Happened to Monday,"Action & Adventure, Sci-Fi & Fantasy","In a future with a strict one-child policy, six septuplets must avoid government detection while searching for their missing sister.",in a future with a strict one child policy six septuplets must avoid government detection while searching for their missing sister,19,,,
Brad Paisley's Comedy Rodeo,"Music & Musicals, Stand-Up Comedy","Country music star Brad Paisley hosts a night of music and laughs with comics Nate Bargatze, John Heffron, Jon Reep, Sarah Tiana and Mike E. Winfield.",country music star brad paisley hosts a night of music and laughs with comics nate bargatze john heffron jon reep sarah tiana and mike e winfield,6,,,
Colin Quinn: Unconstitutional,Stand-Up Comedy,New York comedian Colin Quinn writes and stars in this live one-man stage show that dissects and deconstructs U.S. constitutional history.,new york comedian colin quinn writes and stars in this live one man stage show that dissects and deconstructs u s constitutional history,20,,,
The Outcasts,Comedies,"After failing to strike a truce with their school's queen bee, two misfit best friends lead a nerd uprising that turns social hierarchy on its head.",after failing to strike a truce with their school s queen bee two misfit best friends lead a nerd uprising that turns social hierarchy on its head,24,,,
Chocolate City: Vegas Strip,Dramas,"The exotic dancers from Chocolate City get back together for a trip to Las Vegas and a chance at $500,000 in prize money.",the exotic dancers from chocolate city get back together for a trip to las vegas and a chance at 500 000 in prize money,5,,,
Los Herederos,"Dramas, International Movies","Spurred by boredom and peer pressure, a group of suburban teens becomes increasingly violent and find their paths intersecting those of their parents.",spurred by boredom and peer pressure a group of suburban teens becomes increasingly violent and find their paths intersecting those of their parents,9,,,
Naked,"Comedies, Romantic Movies","Rob's madly in love and about to be married. Unfortunately, he's also naked, stuck in an elevator and caught in a time loop.",rob s madly in love and about to be married unfortunately he s also naked stuck in an elevator and caught in a time loop,11,,,
Demonic,"Horror Movies, Independent Movies","When amateur ghost hunters visit an abandoned house, their investigation turns into a massacre, leaving questions for a detective and a psychologist.",when amateur ghost hunters visit an abandoned house their investigation turns into a massacre leaving questions for a detective and a psychologist,19,,,
The Saint,Action & Adventure,"Master thief Simon Templar â€“ also known as the Saint â€“ is hired by a wealthy banker to find his kidnapped daughter, but not all is as it seems.",master thief simon templar â€“ also known as the saint â€“ is hired by a wealthy banker to find his kidnapped daughter but not all is as it seems,11,,,
Baahubali 2: The Conclusion (Hindi Version),"Action & Adventure, Dramas, International Movies","To avenge his father's death, a young man leads an army into battle against a cruel tyrant in this Hindi conclusion to the historic saga.",to avenge his father s death a young man leads an army into battle against a cruel tyrant in this hindi conclusion to the historic saga,25,,,
Baahubali 2: The Conclusion (Malayalam Version),"Action & Adventure, Dramas, International Movies","To avenge his father's death, a young man leads an army into battle against a cruel tyrant in this Malayalam conclusion to the historic saga.",to avenge his father s death a young man leads an army into battle against a cruel tyrant in this malayalam conclusion to the historic saga,25,,,
Baahubali 2: The Conclusion (Tamil Version),"Action & Adventure, Dramas, International Movies","To avenge his father's death, a young man leads an army into battle against a cruel tyrant in this Tamil conclusion to the historic saga.",to avenge his father s death a young man leads an army into battle against a cruel tyrant in this tamil conclusion to the historic saga,25,,,
Baahubali: The Beginning (Hindi Version),"Action & Adventure, Dramas, International Movies",Villagers in the kingdom of Mahismati rescue a baby who is destined to embark on a heroic quest in this Hindi version of S.S. Rajamouli's epic.,villagers in the kingdom of mahismati rescue a baby who is destined to embark on a heroic quest in this hindi version of s s rajamouli s epic,25,,,
Baahubali: The Beginning (Malayalam Version),"Action & Adventure, Dramas, International Movies",Villagers in the kingdom of Mahismati rescue a baby who is destined to embark on a heroic quest in this Malayalam version of S.S. Rajamouli's epic.,villagers in the kingdom of mahismati rescue a baby who is destined to embark on a heroic quest in this malayalam version of s s rajamouli s epic,25,,,
Baahubali: The Beginning (Tamil Version),"Action & Adventure, Dramas, International Movies",Villagers in the kingdom of Mahismati rescue a baby who is destined to embark on a heroic quest in this Tamil version of S.S. Rajamouli's epic.,villagers in the kingdom of mahismati rescue a baby who is destined to embark on a heroic quest in this tamil version of s s rajamouli s epic,25,,,
LEGO Marvel Super Heroes: Avengers Reassembled!,Children & Family Movies,"When Ultron seizes control of Iron Man's armor, the Avengers race to save their friend and stop an evil plot to take over the world.",when ultron seizes control of iron man s armor the avengers race to save their friend and stop an evil plot to take over the world,7,,,
Enter the Warriors Gate,"Action & Adventure, International Movies, Sci-Fi & Fantasy","An avid gamer is magically transported to ancient China, where he must become a warrior in order to save the princess from an evil warlord.",an avid gamer is magically transported to ancient china where he must become a warrior in order to save the princess from an evil warlord,7,,,
Alan SaldaÃ±a: Mi vida de pobre,Stand-Up Comedy,Mexican comic Alan SaldaÃ±a has fun with everything from the pressure of sitting in an exit row to maxing out his credit card in this stand-up special.,mexican comic alan saldaÃ±a has fun with everything from the pressure of sitting in an exit row to maxing out his credit card in this stand up special,6,,,
Icarus,"Documentaries, Sports Movies",An American filmmaker and cyclist unwittingly wades into a global scandal when a Russian scientist leaks shocking details of a vast doping conspiracy.,an american filmmaker and cyclist unwittingly wades into a global scandal when a russian scientist leaks shocking details of a vast doping conspiracy,4,,,
Message from the King,"Independent Movies, Thrillers","On a relentless quest to avenge his sister's murder, a man from Cape Town infiltrates a sprawling network of lowlifes and elites in Los Angeles.",on a relentless quest to avenge his sister s murder a man from cape town infiltrates a sprawling network of lowlifes and elites in los angeles,22,,,
The Invisible Guardian,"International Movies, Thrillers","When an FBI-trained cop returns to her Navarre hometown to catch a killer targeting local teens, she must also face personal demons from her past.",when an fbi trained cop returns to her navarre hometown to catch a killer targeting local teens she must also face personal demons from her past,22,,,
Handsome Devil,"Comedies, Dramas, International Movies","A self-described outsider is sent to a rugby-obsessed boarding school, where he forms an unexpected bond with the star player.",a self described outsider is sent to a rugby obsessed boarding school where he forms an unexpected bond with the star player,24,,,
Jessica Darling's It List,"Children & Family Movies, Comedies","Armed with popularity tips from her beautiful older sister, precocious Jessica Darling prepares to navigate the treacherous world of seventh grade.",armed with popularity tips from her beautiful older sister precocious jessica darling prepares to navigate the treacherous world of seventh grade,2,,,
Maz Jobrani: Immigrant,Stand-Up Comedy,"Iranian American comic Maz Jobrani lights up the Kennedy Center with riffs on immigrant life in the Trump era, modern parenting pitfalls and more.",iranian american comic maz jobrani lights up the kennedy center with riffs on immigrant life in the trump era modern parenting pitfalls and more,17,,,
Opening Night,"Comedies, Independent Movies, Music & Musicals","Once a rising star on Broadway, Nick is now the perennially pestered production manager for a new musical dedicated to rock music's one-hit wonders.",once a rising star on broadway nick is now the perennially pestered production manager for a new musical dedicated to rock music s one hit wonders,6,,,
Raising the Bar,"Children & Family Movies, Dramas, Sports Movies",A teenager who gave up her spot in an elite U.S. gymnastics program when her family moved to Australia enters a competition to help a new friend.,a teenager who gave up her spot in an elite u s gymnastics program when her family moved to australia enters a competition to help a new friend,2,,,
The Blind Christ,"Dramas, Independent Movies, International Movies",A man claiming he had a divine revelation as a child treks across the Chilean desert to perform a miracle on a friend badly injured in a remote town.,a man claiming he had a divine revelation as a child treks across the chilean desert to perform a miracle on a friend badly injured in a remote town,10,,,
Un plus une,"Comedies, Dramas, International Movies","A womanizing musician travels to India, where he composes a Bollywood film score and unexpectedly falls for the wife of the French ambassador.",a womanizing musician travels to india where he composes a bollywood film score and unexpectedly falls for the wife of the french ambassador,24,,,
The Incredible Jessica James,"Comedies, Independent Movies, Romantic Movies","Burned by a bad breakup, a struggling New York City playwright makes an unlikely connection with a divorced app designer she meets on a blind date.",burned by a bad breakup a struggling new york city playwright makes an unlikely connection with a divorced app designer she meets on a blind date,8,,,
Joe Mandeâ€™s Award-Winning Comedy Special,Stand-Up Comedy,"Stand-up comic Joe Mande aims for critical adulation with this special that covers dating shows, ""Shark Tank,"" Jewish summer camp and much more.",stand up comic joe mande aims for critical adulation with this special that covers dating shows shark tank jewish summer camp and much more,6,,,
I Called Him Morgan,"Documentaries, Music & Musicals","Decades after serving a prison sentence for killing jazz musician Lee Morgan, his common-law wife, Helen, reflects on their lives and his legacy.",decades after serving a prison sentence for killing jazz musician lee morgan his common law wife helen reflects on their lives and his legacy,23,,,
Aditi Mittal: Things They Wouldn't Let Me Say,Stand-Up Comedy,"Trailblazing comic Aditi Mittal mixes topical stand-up with frank talk about being single, wearing thongs and the awkwardness of Indian movie ratings.",trailblazing comic aditi mittal mixes topical stand up with frank talk about being single wearing thongs and the awkwardness of indian movie ratings,17,,,
Uncertain Glory,"Dramas, International Movies","When LluÃ­s, a disinterested Spanish soldier, meets Carlana, he falls quickly in love, but soon discovers that Carlana's true passion is power.",when lluÃ­s a disinterested spanish soldier meets carlana he falls quickly in love but soon discovers that carlana s true passion is power,24,,,
Amar,"Dramas, International Movies, Romantic Movies","Young Laura and Carlos experience the intensity and fragility of first love, as life realities gradually tarnish their idealized notions of romance.",young laura and carlos experience the intensity and fragility of first love as life realities gradually tarnish their idealized notions of romance,16,,,
Buddy Thunderstruck: The Maybe Pile,"Children & Family Movies, Comedies","Champion truck-racing dog Buddy and his best friend, ferret mechanic Darnell, paw through the ""maybe pile"" and test out a bunch of crazy stunts.",champion truck racing dog buddy and his best friend ferret mechanic darnell paw through the maybe pile and test out a bunch of crazy stunts,2,,,
Chasing Coral,Documentaries,"Divers, scientists and photographers around the world mount an epic underwater campaign to document the disappearance of coral reefs.",divers scientists and photographers around the world mount an epic underwater campaign to document the disappearance of coral reefs,3,,,
To the Bone,"Dramas, Independent Movies","Ellen, a 20-year-old with anorexia nervosa, goes on a harrowing, sometimes funny journey of self-discovery at a group home run by an unusual doctor.",ellen a 20 year old with anorexia nervosa goes on a harrowing sometimes funny journey of self discovery at a group home run by an unusual doctor,12,,,
D.L. Hughley: Clear,Stand-Up Comedy,"In this 2014 standup special filmed in San Francisco, comedic genius D.L. Hughley entertains with his hilarious take on current affairs and more.",in this 2014 standup special filmed in san francisco comedic genius d l hughley entertains with his hilarious take on current affairs and more,17,,,
Tom Segura: Completely Normal,Stand-Up Comedy,Levelheaded stand-up Tom Segura shares offhand appraisals on hotels and opens up about his hobbies and digestive ailments in this comedy special.,levelheaded stand up tom segura shares offhand appraisals on hotels and opens up about his hobbies and digestive ailments in this comedy special,17,,,
Take Me,"Comedies, Independent Movies","With his simulated kidnapping business flagging, an entrepreneur jumps at a weekend abduction opportunity â€“ only to find the job isn't what it seems.",with his simulated kidnapping business flagging an entrepreneur jumps at a weekend abduction opportunity â€“ only to find the job isn t what it seems,14,,,
10 jours en or,"Comedies, Dramas, International Movies","When a carefree bachelor is unexpectedly left in charge of a young boy, the two embark on a road trip that will change both of their lives.",when a carefree bachelor is unexpectedly left in charge of a young boy the two embark on a road trip that will change both of their lives,8,,,
A 2nd Chance,"Children & Family Movies, Dramas, Sports Movies","A gymnast lacks the confidence she needs to reach the top. But with the help of her new coach, she has the chance to win a spot on the national team.",a gymnast lacks the confidence she needs to reach the top but with the help of her new coach she has the chance to win a spot on the national team,5,,,
Amrapali,"Dramas, International Movies, Music & Musicals","In the age of Buddha and his philosophy of nonviolence, a warmonger king plots the destruction of an enemy kingdom to rescue the woman he loves.",in the age of buddha and his philosophy of nonviolence a warmonger king plots the destruction of an enemy kingdom to rescue the woman he loves,7,,,
Hans Teeuwen: Real Rancour,Stand-Up Comedy,"Comedian Hans Teeuwen rebels against political correctness, proclaims himself Britain's moral leader and takes on Donald Trump.",comedian hans teeuwen rebels against political correctness proclaims himself britain s moral leader and takes on donald trump,17,,,
Lal Patthar,"Classic Movies, Dramas, International Movies","A vain, self-righteous nobleman falls in love with a village girl and tries to transform her into his version of the ideal woman.",a vain self righteous nobleman falls in love with a village girl and tries to transform her into his version of the ideal woman,14,,,
Liar's Dice,"Dramas, Independent Movies, International Movies",A woman from a small mountain village disobeys her village elders and sets out for the big city in search of her missing husband.,a woman from a small mountain village disobeys her village elders and sets out for the big city in search of her missing husband,12,,,
Professor,"Comedies, Dramas, International Movies",A college grad in need of money must disguise himself as an old man to tutor two young women who are under the watchful eye of their strict aunt.,a college grad in need of money must disguise himself as an old man to tutor two young women who are under the watchful eye of their strict aunt,11,,,
The Invisible Guest,"International Movies, Thrillers","After waking next to his now-dead lover in a hotel room, a young businessman hires a prominent lawyer to figure out how he ended up a murder suspect.",after waking next to his now dead lover in a hotel room a young businessman hires a prominent lawyer to figure out how he ended up a murder suspect,23,,,
Yaar Gaddar,"Dramas, International Movies","When his brother becomes involved in a deadly bank robbery, a heartbroken cop vows to track down and retrieve his wayward sibling â€“ dead or alive.",when his brother becomes involved in a deadly bank robbery a heartbroken cop vows to track down and retrieve his wayward sibling â€“ dead or alive,22,,,
